"X","Y","Z","attribute"
4.5e-05,4.5e-05,-0.0001,10
-5.07335e-06,2.95679e-05,-0.0001,10
2.30699e-05,1.91776e-05,-0.0001,10
-5.07335e-06,2.95679e-05,-0.0001,10
-4.5e-05,4.5e-05,-0.0001,10
-2.81432e-05,1.03903e-05,-0.0001,10
7.5e-05,-6.5e-05,-0.000125,10
-7.5e-05,-6.5e-05,-0.000125,10
0,-6.5e-05,-5e-05,10
-5.07335e-06,2.95679e-05,-0.00055,10
-2.81432e-05,1.03903e-05,-0.00105,10
-5.07335e-06,2.95679e-05,-0.00105,10
-2.81432e-05,1.03903e-05,-0.00105,10
-5.07335e-06,2.95679e-05,-0.00055,10
-2.81432e-05,1.03903e-05,-0.00055,10
2.30699e-05,1.91776e-05,-0.00105,10
-5.07335e-06,2.95679e-05,-0.00155,10
2.30699e-05,1.91776e-05,-0.00155,10
-2.81432e-05,1.03903e-05,-0.00055,10
-2.30699e-05,-1.91776e-05,-0.00105,10
-2.81432e-05,1.03903e-05,-0.00105,10
-5.07335e-06,2.95679e-05,-0.00155,10
2.30699e-05,1.91776e-05,-0.00105,10
-5.07335e-06,2.95679e-05,-0.00105,10
-2.81432e-05,1.03903e-05,-0.0001,10
-5.07335e-06,2.95679e-05,-0.00055,10
-5.07335e-06,2.95679e-05,-0.0001,10
-5.07335e-06,2.95679e-05,-0.0001,10
2.30699e-05,1.91776e-05,-0.00055,10
2.30699e-05,1.91776e-05,-0.0001,10
-7.5e-05,-6.5e-05,-0.000125,10
-7.5e-05,-6.5e-05,2.5e-05,10
0,-6.5e-05,-5e-05,10
2.30699e-05,1.91776e-05,-0.0001,10
2.81432e-05,-1.03903e-05,-0.00055,10
2.81432e-05,-1.03903e-05,-0.0001,10
5.07335e-06,-2.95679e-05,-0.00055,10
-2.30699e-05,-1.91776e-05,-0.0001,10
5.07335e-06,-2.95679e-05,-0.0001,10
-2.30699e-05,-1.91776e-05,-0.00055,10
-2.81432e-05,1.03903e-05,-0.0001,10
-2.30699e-05,-1.91776e-05,-0.0001,10
2.81432e-05,-1.03903e-05,-0.00055,10
5.07335e-06,-2.95679e-05,-0.0001,10
2.81432e-05,-1.03903e-05,-0.0001,10
4.5e-05,4.5e-05,-8e-05,10
-4.5e-05,4.5e-05,-0.0001,10
4.5e-05,4.5e-05,-0.0001,10
-5.07335e-06,2.95679e-05,-0.00055,10
-2.81432e-05,1.03903e-05,-0.0001,10
-2.81432e-05,1.03903e-05,-0.00055,10
2.30699e-05,1.91776e-05,-0.00055,10
-5.07335e-06,2.95679e-05,-0.0001,10
-5.07335e-06,2.95679e-05,-0.00055,10
2.81432e-05,-1.03903e-05,-0.00055,10
2.30699e-05,1.91776e-05,-0.0001,10
2.30699e-05,1.91776e-05,-0.00055,10
-2.30699e-05,-1.91776e-05,-0.0001,10
5.07335e-06,-2.95679e-05,-0.00055,10
-2.30699e-05,-1.91776e-05,-0.00055,10
5.07335e-06,-2.95679e-05,-0.0001,10
2.81432e-05,-1.03903e-05,-0.00055,10
5.07335e-06,-2.95679e-05,-0.00055,10
5.07335e-06,-2.95679e-05,-0.00155,10
2.81432e-05,-1.03903e-05,-0.00105,10
2.81432e-05,-1.03903e-05,-0.00155,10
2.81432e-05,-1.03903e-05,-0.00105,10
5.07335e-06,-2.95679e-05,-0.00155,10
5.07335e-06,-2.95679e-05,-0.00105,10
2.81432e-05,-1.03903e-05,-0.00105,10
2.30699e-05,1.91776e-05,-0.00055,10
2.30699e-05,1.91776e-05,-0.00105,10
2.30699e-05,1.91776e-05,-0.00055,10
2.81432e-05,-1.03903e-05,-0.00105,10
2.81432e-05,-1.03903e-05,-0.00055,10
2.30699e-05,1.91776e-05,-0.00055,10
-5.07335e-06,2.95679e-05,-0.00105,10
2.30699e-05,1.91776e-05,-0.00105,10
-5.07335e-06,2.95679e-05,-0.00105,10
2.30699e-05,1.91776e-05,-0.00055,10
-5.07335e-06,2.95679e-05,-0.00055,10
-2.30699e-05,-1.91776e-05,-0.00155,10
5.07335e-06,-2.95679e-05,-0.00105,10
5.07335e-06,-2.95679e-05,-0.00155,10
5.07335e-06,-2.95679e-05,-0.00105,10
-2.30699e-05,-1.91776e-05,-0.00155,10
-2.30699e-05,-1.91776e-05,-0.00105,10
2.81432e-05,-1.03903e-05,-0.00155,10
2.30699e-05,1.91776e-05,-0.00105,10
2.30699e-05,1.91776e-05,-0.00155,10
-4.5e-05,-4.5e-05,-0.0001,10
4.5e-05,-4.5e-05,-0.0001,10
5.07335e-06,-2.95679e-05,-0.0001,10
-4.5e-05,-4.5e-05,-0.0001,3
7.5e-05,-4.5e-05,-0.000125,3
4.5e-05,-4.5e-05,-0.0001,3
7.5e-05,-4.5e-05,-0.000125,3
4.5e-05,-4.5e-05,-8e-05,3
4.5e-05,-4.5e-05,-0.0001,3
4.5e-05,4.5e-05,-8e-05,10
4.5e-05,-4.5e-05,-0.0001,10
4.5e-05,-4.5e-05,-8e-05,10
4.5e-05,-4.5e-05,-0.0001,10
4.5e-05,4.5e-05,-8e-05,10
4.5e-05,4.5e-05,-0.0001,10
-7.5e-05,-4.5e-05,-0.000125,3
7.5e-05,-4.5e-05,-0.000125,3
-4.5e-05,-4.5e-05,-0.0001,3
-7.5e-05,-4.5e-05,-0.000125,10
-7.5e-05,-6.5e-05,2.5e-05,10
-7.5e-05,-6.5e-05,-0.000125,10
4.5e-05,-4.5e-05,-0.0001,10
4.5e-05,4.5e-05,-0.0001,10
2.81432e-05,-1.03903e-05,-0.0001,10
-4.5e-05,4.5e-05,-0.0001,10
-4.5e-05,-4.5e-05,-0.0001,10
-2.81432e-05,1.03903e-05,-0.0001,10
-4.5e-05,-4.5e-05,-0.0001,10
5.07335e-06,-2.95679e-05,-0.0001,10
-2.30699e-05,-1.91776e-05,-0.0001,10
2.81432e-05,-1.03903e-05,-0.0001,10
4.5e-05,4.5e-05,-0.0001,10
2.30699e-05,1.91776e-05,-0.0001,10
5.07335e-06,-2.95679e-05,-0.0001,10
4.5e-05,-4.5e-05,-0.0001,10
2.81432e-05,-1.03903e-05,-0.0001,10
-2.81432e-05,1.03903e-05,-0.0001,10
-4.5e-05,-4.5e-05,-0.0001,10
-2.30699e-05,-1.91776e-05,-0.0001,10
7.5e-05,-4.5e-05,-0.000125,10
-7.5e-05,-6.5e-05,-0.000125,10
7.5e-05,-6.5e-05,-0.000125,10
-7.5e-05,-6.5e-05,-0.000125,10
7.5e-05,-4.5e-05,-0.000125,10
-7.5e-05,-4.5e-05,-0.000125,10
2.81432e-05,-1.03903e-05,-0.00055,10
5.07335e-06,-2.95679e-05,-0.00105,10
5.07335e-06,-2.95679e-05,-0.00055,10
5.07335e-06,-2.95679e-05,-0.00105,10
2.81432e-05,-1.03903e-05,-0.00055,10
2.81432e-05,-1.03903e-05,-0.00105,10
-2.81432e-05,1.03903e-05,-0.00155,10
-5.07335e-06,2.95679e-05,-0.00105,10
-2.81432e-05,1.03903e-05,-0.00105,10
-2.30699e-05,-1.91776e-05,-0.00105,10
-2.81432e-05,1.03903e-05,-0.00055,10
-2.30699e-05,-1.91776e-05,-0.00055,10
-5.07335e-06,2.95679e-05,-0.00105,10
-2.81432e-05,1.03903e-05,-0.00155,10
-5.07335e-06,2.95679e-05,-0.00155,10
2.30699e-05,1.91776e-05,-0.00105,10
2.81432e-05,-1.03903e-05,-0.00155,10
2.81432e-05,-1.03903e-05,-0.00105,10
5.07335e-06,-2.95679e-05,-0.00055,10
-2.30699e-05,-1.91776e-05,-0.00105,10
-2.30699e-05,-1.91776e-05,-0.00055,10
-2.30699e-05,-1.91776e-05,-0.00105,10
5.07335e-06,-2.95679e-05,-0.00055,10
5.07335e-06,-2.95679e-05,-0.00105,10
-2.81432e-05,1.03903e-05,-0.00105,10
-2.30699e-05,-1.91776e-05,-0.00155,10
-2.81432e-05,1.03903e-05,-0.00155,10
-2.81432e-05,1.03903e-05,-0.0001,10
-2.30699e-05,-1.91776e-05,-0.00055,10
-2.81432e-05,1.03903e-05,-0.00055,10
4.5e-05,4.5e-05,-0.0001,10
-4.5e-05,4.5e-05,-0.0001,10
-5.07335e-06,2.95679e-05,-0.0001,10
-2.81432e-05,1.03903e-05,-0.00205,10
-5.07335e-06,2.95679e-05,-0.00155,10
-2.81432e-05,1.03903e-05,-0.00155,10
-5.07335e-06,2.95679e-05,-0.00155,10
-2.81432e-05,1.03903e-05,-0.00205,10
-5.07335e-06,2.95679e-05,-0.00205,10
-5.07335e-06,2.95679e-05,-0.00205,10
2.30699e-05,1.91776e-05,-0.00155,10
-5.07335e-06,2.95679e-05,-0.00155,10
-2.30699e-05,-1.91776e-05,-0.00155,10
-2.81432e-05,1.03903e-05,-0.00105,10
-2.30699e-05,-1.91776e-05,-0.00105,10
2.30699e-05,1.91776e-05,-0.00205,10
2.81432e-05,-1.03903e-05,-0.00255,10
2.81432e-05,-1.03903e-05,-0.00205,10
2.30699e-05,1.91776e-05,-0.00205,10
-5.07335e-06,2.95679e-05,-0.00255,10
2.30699e-05,1.91776e-05,-0.00255,10
-2.81432e-05,1.03903e-05,-0.00155,10
-2.30699e-05,-1.91776e-05,-0.00205,10
-2.81432e-05,1.03903e-05,-0.00205,10
-2.81432e-05,1.03903e-05,-0.00255,10
-2.30699e-05,-1.91776e-05,-0.00305,10
-2.81432e-05,1.03903e-05,-0.00305,10
5.07335e-06,-2.95679e-05,-0.00305,10
2.81432e-05,-1.03903e-05,-0.00255,10
2.81432e-05,-1.03903e-05,-0.00305,10
-5.07335e-06,2.95679e-05,-0.00255,10
-2.81432e-05,1.03903e-05,-0.00305,10
-5.07335e-06,2.95679e-05,-0.00305,10
-2.81432e-05,1.03903e-05,-0.00305,10
-5.07335e-06,2.95679e-05,-0.00255,10
-2.81432e-05,1.03903e-05,-0.00255,10
-2.30699e-05,-1.91776e-05,-0.00255,10
5.07335e-06,-2.95679e-05,-0.00205,10
5.07335e-06,-2.95679e-05,-0.00255,10
5.07335e-06,-2.95679e-05,-0.00205,10
-2.30699e-05,-1.91776e-05,-0.00255,10
-2.30699e-05,-1.91776e-05,-0.00205,10
-2.30699e-05,-1.91776e-05,-0.00255,10
-2.81432e-05,1.03903e-05,-0.00205,10
-2.30699e-05,-1.91776e-05,-0.00205,10
5.07335e-06,-2.95679e-05,-0.00355,10
2.81432e-05,-1.03903e-05,-0.00305,10
2.81432e-05,-1.03903e-05,-0.00355,10
2.30699e-05,1.91776e-05,-0.00305,10
2.81432e-05,-1.03903e-05,-0.00355,10
