#OpenParEM3D 2.1.0
#Touchstone format,DB
#frequency unit,GHz
#number of ports,1
#S-port 1,net1,not renormalized
#prior iterations pre-pended by #
#Frequency(GHz),dB(S(1;1)),deg(S(1;1))
8,-1.87656313991951,-53.5026619077645
8.25,-2.72566936209378,-61.1026715127497
8.5,-4.05040611727286,-70.2343074382531
8.75,-6.17042320171055,-81.0645208120712
9,-9.73458624605773,-93.8957781870892
9.2,-14.8306243731279,-107.198464220192
9.22,-15.5593791710028,-108.93233934546
9.24,-16.3525298580175,-110.821030865224
9.25,-16.7766632045551,-111.837644938227
9.26,-17.2213400758198,-112.912326128351
9.28,-18.180182400007,-115.275506886546
9.3,-19.2476207190242,-118.014440552905
9.32,-20.4478100085643,-121.291110247078
9.34,-21.8119683555617,-125.370031672106
9.36,-23.378480355646,-130.706163683795
9.38,-25.1852738561216,-138.123658841224
9.4,-27.2285234608973,-149.155171624461
9.42,-29.2986190925708,-166.366408453345
9.44,-30.6075295052064,168.419360385475
9.46,-30.1455531529759,140.742751070825
9.48,-28.3603143402642,119.676496702096
9.5,-26.3182669915985,106.093201426907
9.52,-24.4571252044558,97.2416843087139
9.54,-22.844815812444,91.1001039134045
9.56,-21.4538461864551,86.5592328047034
9.58,-20.2439845221779,83.0181690028632
9.6,-19.1803090331971,80.1362750519106
9.75,-13.8966212333529,67.2252132870206
10,-9.49072563928174,55.3404644742518
10.25,-7.09062824671508,46.9388699470215
10.5,-5.58698136691245,40.3559412794738
10.75,-4.57196123019205,35.0328552412889
11,-3.85114956618906,30.6488976857485
11.25,-3.31896868621395,26.9835083270186
11.5,-2.9133772990587,23.8760385290557
11.75,-2.5958625066891,21.2068028724467
#12,-2.33974046657289,18.8779021008779
12,-2.3414984038542,18.8854167437634
